Co./Last Name	Card ID	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	           - City	           - State	           - Postcode	           - Country	Identifiers
Belgrave Pet Supplies n Grooming Shoppe	9752 6452	1527 Burwood Highway				Tecoma	Vic	3160	Australia	AJTZ
Belgrave South Vet Clinic	9754 2316	136 Belgrave-Hallam Road				Belgrave	Vic	3160	Australia	AKUZ
Bell's Pet Shop	9354 7822	104 Kent Street				Pascoe Vale	Vic	3044	Australia	AJUY
Bellarine Veterinary Practice	5248 2009	65 Coppards Road				Newcomb	Vic	3219	Australia	AKUY
Benalla Pet Shop	5762 6281	104 Bridge Street				Benalla	Vic	3672	Australia	AJUW
Bendigo Fish n Feather	5443 2551	Shop 4  7 Wills Street				Bendigo	Vic	3550	Australia	AJUW
Bendigo Obedience Dog Club	5442 6374	PO Box 2396	Bendigo Mail Centre			Bendigo	Vic	3554	Australia	ANUW
Berwick Boarding Kennels	9702 2211	106 Homestead Road				Berwick	Vic	3806	Australia	AMTZ
Berwick Vet Hospital	9707 2655	58 Clyde Road				Berwick	Vic	3806	Australia	AKTZ
Berwick Village Animal Care	9707 3855	35 Clyde Road				Berwick	Vic	3806	Australia	AKTZ
Betta Pet Warehouse	9740 3500	104 Horne Street				Sunbury	Vic	3429	Australia	AJTY
Black Rock Animal Hospital	9589 0777	581 Balcombe Road				Black Rock	Vic	3193	Australia	AKUZ
Blackburn Animal Hospital	9877 3277	80 Canterbury Road				Blackburn	Vic	3130	Australia	AKUY
Blue Ribbon Pet Foods	5962 1200	3 St Leonards Road				Healesville	Vic	3777	Australia	AJTY
Blyszak Stockfeeds	5272 1289	376 Thompons Road				Geelong North	Vic	3220	Australia	ALTY
Bordabemyn Pet Boarding Kennels & Cattery	08 9846 4306	RMB 8062 Dempster Road	Lower Kalgan			Albany	WA	6330	Australia	FMUW
Boronia Pets	9762 5554	244 Dorset Road				Boronia	Vic	3155	Australia	AJUY
Boronia Vet Clinic & Animal Hospital	9762 3177	181 Boronia Road				Boronia	Vic	3155	Australia	AKTY
Bow Wow Meow Pet Boutique	9584 6409	"Shop 2, 10 Park Road"				Cheltenham	Vic	3192	Australia	AJTZ
Bow Wows Dog Grooming	9521 0187	301 Hampton Street				Hampton	Vic	3188	Australia	AOUZ
Box Hill Vet	9890 6071	767 Whitehorse Road				Mont Albert	Vic	3127	Australia	AKTY
Brighton Vet Hospital	9596 7333	93 Bay Street				Brighton	Vic	3186	Australia	AKUZ
Brunswick Pet Shop	9380 5566	306 Sydney Road				Brunswick	Vic	3056	Australia	AJUY
Buddies Pet Supplies	9596 4472	359 Nepean Highway				East Brighton	Vic	3187	Australia	AJTZ
Budget Stockfeeds	5975 5151	125 Tyabb Road				Mornington	Vic	3931	Australia	ALTZ
Bundoora Veterinary Hospital	9467 2255	17-19 Plenty Road				Bundoora	Vic	3083	Australia	AKUY
Burvale Heights Vet Surgery	9877 3999	414 Springvale Road				Forest Hill	Vic	3131	Australia	AKUY
Burwood Fuel & Fodder Supply	9808 2130	315 Warrigal Rd				Burwood	Vic	3125	Australia	ALUZ
Burwood Pets & Birds	9809 1212	1415 Toorak Road				Burwood	Vic	3125	Australia	AJUZ
Burwood Road Clinic for Cats	9819 1468	69 Burwood Road				Hawthorn	Vic	3122	Australia	AKTY
Busters Pet & Produce	02 6686 0688	35 Dehvilland Cresent				Ballina	NSW	2478	Australia	BJUW
Camberwell Vet Clinic	9836 0536	896 Riversdale Road				Camberwell	Vic	3124	Australia	AKUZ
Canine Clip Joint	9571 3130	144 Neerim Road				Caulfield East	Vic	3145	Australia	AOUZ
Canine Elegance	9842 6788	958 Doncaster Road				East Doncaster	Vic	3109	Australia	AOUY
Canterbury Vet Clinic	9836 2708	354 Canterbury Road				Surrey Hills	Vic	3127	Australia	AKTY
Cardinia Vet Centre	5941 3822	164 Princes Highway				Pakenham	Vic	3810	Australia	AKUZ
Casey Mobile Dog Services	8790 1223	3 Estella Court				Naree Warren North	Vic	3804	Australia	AOUZ
Castelan Boarding Kennels	07 3390 1169off	85 Warriewood Street				Chandler	QLD	4155	Australia	CMUW
Cat-A-Tonic	08 8295 7725	19 Lindsay Street				Camden Park	SA	5038	Australia	EJUW
Cat Lovers Veterinary Clinic	9769 6999	18 Overport Road				Frankston	Vic	3199	Australia	AKUZ
Cat Protection Society of Victoria	9432 0957	200 Elder Street				Greensborough	Vic	3088	Australia	AKSY
Cats R Us	9707 4740	275 Princes Highway				Officer	Vic	3809	Australia	AMUZ
Caulfield South Veterinary Clinic	9528 2525	463 Hawthorn Road				Caulfield South	Vic	3162	Australia	AKUZ
Caulfield Vet Clinic	9527 7740	370 Dandenong Road				Caulfield North	Vic	3161	Australia	AKUZ
Central Reptile & Pet Shop	9360 7824	"Shop 50, 1 Central Avenue"				Laverton	Vic	3028	Australia	AJUY
Central Veterinary Hospital Sandringham	9598 7848	26 Abbott Street				Sandringham	Vic	3191	Australia	AKTZ
Central Walk Pets	9743 9472	"Shop 2, 415 High Street"	Central Walk			Melton	Vic	3337	Australia	AJUY
Champion Pet Foods	9725 0288	190 Bayswater Road				Bayswater	Vic	3137	Australia	AJTY
Chelsea Lane Pets & Supplies	02 9973 2961	4/48 Old Barrenjoey Road				Avalon	NSW	2107	Australia	BJUW
Chirnside Park Vet Clinic	9737 6366	103 Switchback Road				Chirnside Park	Vic	3116	Australia	AKUY
Chirnside Pets Centre	9726 5846	Shop 713A	Chirnside Park Shopping Centre			Chirnside Park	Vic	3116	Australia	AJTY
"City of Greater Geelong, City Hall"	5227 0504a	30 Gheringhap Street				Geelong	Vic	3220	Australia	ANTW
City Pets	9882 4240	Rear 614 Burke Road	Shop 2			Camberwell	Vic	3124	Australia	AJUZ
Cliff Avenue Pet Food & Supplies	08 8386 0888	48 Cliff Avenue				Port Noarlunga	SA	5167	Australia	EJTW
Clifton Hill Vet Clinic	9489 4055	470 Wellington Road				Clifton Hill	Vic	3068	Australia	AKUY
Club Pet Kennels	9796 8223	202 A'Beckett Road				Narre Warren North	Vic	3804	Australia	AMUZ
Collars & Scents Pet Essentials	9596 4738	283 Bay Street				Brighton	Vic	3186	Australia	AJSZ
Command Dog Training School	9877 6522	19 Jeffery street				Blackburn	Vic	3130	Australia	ANUY
Complete Canine Company	08 8231 3667	393 King William Street				Adelaide	SA	5000	Australia	EJUW
Cooinda Cattery	5971 1395	65 Barretts Road				Baxter	Vic	3911	Australia	AMUZ
Cooma Pet Shop	02 6452 6399	73 Sharp Street				Cooma	NSW	2630	Australia	BJUW
Cottage Kennels & Cattery	9436 1133	248 Yan Yean Road				Plenty	Vic	3090	Australia	AMTY
Count Dogula's	5153 1013	26 Wood Street				Bairnsdale	Vic	3875	Australia	AJTW
Croydon Pets & Produce Store	9725 2866	66 Maroondah Highway				Croydon	Vic	3136	Australia	ALTY
Croydon Vet Clinic	9723 2476	167 Mt Dandenong Road				Croydon	Vic	3136	Australia	AKTY
Crystal Enterprises (Aust)	9571 8561	170 Haughton Road				Oakleigh	Vic	3166	Australia	ANUW
Cute Critters	02 6947 9734	20A Russel Street				Tumut	NSW	2720	Australia	BJSW
Danaher's Timber & Hardware	9457 2645	464 Lower Heidelberg Road				Heidelberg	Vic	3084	Australia	APUY
Dandenong Vet Hospital	9792 4787	118 Princes Highway				Dandenong	Vic	3175	Australia	AKUZ
Daylesford Mind Your Pet	5348 4213	"Shop 4, Park Lane"				Daylesford	Vic	3460	Australia	AJSY
DD Pet Foods	9786 4603	3a Apsley Place				Seaford	Vic	3198	Australia	AJTZ
Derrimut Road Vet	9749 3011	58 Derrimut Road				Hoppers Crossing	Vic	3029	Australia	AKTY
Diamond Creek Aquarium	9438 2956	23-25 Main Road				Diamond Creek	Vic	3089	Australia	AJSY
Diamond Creek Vet Hospital	9438 1183	110 Main Hurstbridge Road				Diamond Creek	Vic	3089	Australia	AKTY
Diamond Valley Mitre10	9438 2077	95 Main Hurstbridge Road				Diamond Creek	Vic	3089	Australia	APTY
Dingley Vet Clinic	9551 4775	130 Centre Dandenong Road				Dingley Village	Vic	3172	Australia	AKUZ
Dirty Dogs Pet Supplies	9773 2717	Shop 1/218 Nepean Highway				Edithvale	Vic	3196	Australia	AJUZ
Discount Animal Supplies - Lynbrook	8768 7799	9 Chapel Street				Lynbrook	Vic	3975	Australia	AJTZ
Discount Animal Supplies - Lysterfield	9752 9814	550 Lysterfield Road				Lysterfield	Vic	3156	Australia	ALUZ
Diva Dogs	9503 4222	4 Richardson Street				Hughesdale	Vic	3166	Australia	AJUZ
Doctor Dolittles Hampton	9598 9085	Shop 19 427-449 Hampton Street				Hampton	Vic	3188	Australia	AJUZ
Dog Depot	9888 6555	490 Whitehorse Road				Surrey Hills	Vic	3127	Australia	AJTY
Dog Grooming by Jacqui	9879 7888	60 Mt Dandenong Road				Ringwood East	Vic	3135	Australia	AOUY
Dog House Pet Resort	5264 5026	575 Ghazeppore Raod				Mt Dundeed	Vic	3216	Australia	AMUY
Dog Studio	9822 6639	1b Rose Street				Armadale	Vic	3143	Australia	AOUZ
Doggie Day Care Centre & Puppy Creche	9532 1393	216 Wickham Road				Moorabbin	Vic	3189	Australia	AMTZ
Doggy Dooz	9687 0299	154a Victoria Street				Seddon	Vic	3011	Australia	AJTY
Doggy Party Plan	0417 114 991	14 Serpentine Road				Keysborough	Vic	3173	Australia	ANTZ
Dogs Country Club Kennel Resort	5971 1127	15 Sumner Rd				Baxter	Vic	3911	Australia	AMTZ
DOGS of Victoria	9898 2100	PO Box 79				Kerrimuir	Vic	3129	Australia	ANUY
Dogzone	9427 9888	53 North Street				Richmond	Vic	3121	Australia	AOUZ
Doreen Stockfeed	9717 3927	Cnr Yan Yean Rd	Doctors Gully Rd			Doreen	Vic	3754	Australia	ALUY
Dorset Road Vet Clinic	9727 4004	Cnr Dorset Road & Bellara Drive				Croydon	Vic	3136	Australia	AKUY
Dr Leo Cantwell	9793 1694	Cnr Stud & McFees Roads				Dandenong	Vic	3175	Australia	AKTZ
Dr Michael Traumanis	5625 1707	200 Princes Highway				Drouin	Vic	3818	Australia	AKUZ
Dromana Dog Grooming & Clipping Service	5987 0853	40 Fig Street				Dromana	Vic	3936	Australia	AOUZ
Dromana Vet Hospital	5987 2477	27 McCulloch Street				Dromana	Vic	3936	Australia	AKUZ
Drouin Pet Shop	5625 3555	2 Hope Street				Drouin	Vic	3818	Australia	AJUW
Duffton Kennels	9436 1426	33 Kurrak Drive				Yarrambat	Vic	3091	Australia	AMUY
E & A Salce	9484 3805	647 High Street				Thornbury	Vic	3071	Australia	AJUY
East Bentleigh Animal Care	9579 5858	581 Warrigal Road				East Bentleigh	Vic	3165	Australia	AKUZ
East Bentleigh Vet Clinic	9579 3430	172 East Boundry Road				East Bentleigh	Vic	3165	Australia	AKTZ
East Malvern Vet Clinic	9571 1404	266 Waverley Road				East Malvern	Vic	3145	Australia	AKTZ
East Mornington Vet Clinic	5975 7766	51 Tyabb Road				Mornington	Vic	3931	Australia	AKUZ
Elgar Road Vet Hospital	9899 9518	590 Elgar Road				Box Hill North	Vic	3129	Australia	AKSY
Eliza Cattery	5978 8098	340 Wooralla Drive				Moorooduc	Vic	3933	Australia	AMUZ
Ellagant Pooches	5941 4578	"Shop 4-5, 162 Main Street"				Pakenham	Vic	3810	Australia	AJTZ
Elsternwick Vet	9532 9845	627 Glenhuntly Road				Caulfield	Vic	3162	Australia	AKTZ
Eltham Central Vet Hospital	9439 1111	1282 Main Road				Eltham	Vic	3095	Australia	AKTY
Eltham Stockfeed & Pet Supply	9439 6716	1142 Main Road				Eltham	Vic	3095	Australia	ALUY
Elwood Vet Clinic	9531 1771	116 Ormond Road				Elwood	Vic	3184	Australia	AKUZ
Endeavour Hills Vet Clinic	9700 2264	63 Monkhouse Drive				Endeavour Hills	Vic	3802	Australia	AKUZ
Energy Pet Supplies	9555 1808	555 Highett Road				Highett	Vic	3190	Australia	AJTZ
Essendon Vet Clinic	9375 1039	89 Buckley Street				Essendon	Vic	3040	Australia	AKUY
Eureka Vet Group	5333 5959	121 Creswick Road				Ballarat	Vic	3350	Australia	AKUY
Exel Rural	9735 4333	148 Main Street				Lilydale	Vic	3140	Australia	ALUY
Faat Cats	9571 4867	1198 Glenhuntly Road				Glenhuntly	Vic	3163	Australia	AJUZ
Fawkner Vet Hospital	9359 3474	1148 Sydney Road				Fawkner	Vic	3060	Australia	AKTY
Ferntree Gully Vet	9758 4055	1288 Burwood Road				Ferntree Gully	Vic	3156	Australia	AKTY
Fifi Pets Spa	9844 0435	PO Box 161				Warrandyte	Vic	3113	Australia	AOUY
Fish & Feather	9761 4410	243-245 Colchester Road				Kilsyth	Vic	3137	Australia	AJUZ
Fitzroy Vet Clinic	9489 2195	102 Scotchermer Street				Fitzroy North	Vic	3068	Australia	AKUY
Five Star Grooming	9702 9033	3 Nola Court				Hampton Park	Vic	3976	Australia	AOUZ
FJ'S Clearance	9729 3636	705 Mountain Highway				Bayswater	Vic	3153	Australia	APUY
Flemington Vet	9376 5299	187 Mount Alexander Road				Ascot Vale	Vic	3032	Australia	AKTY
Flynn's Pet Shop	6234 4216	79 Bathurst Street				Hobart	Tas	7000	Australia	GJTW
Forest Hill Vet Clinic	9873 1544	357 Canterbury Road				Forest Hill	Vic	3131	Australia	AKUY
Fourpaws	0409 035 579	PO Box 821				Kings Langley	NSW	2147	Australia	BJUW
Fueltex Produce & Fuel	9735 4060	87 Warburton Highway				Lilydale	Vic	3140	Australia	ALUY
Furry Friends Pet Grooming	02 9453 3312	17 Kinsdale Close				Killarney Heights	NSW	2087	Australia	BOUW
Geelong Animal Welfare Society	5248 2091	325 Portarlington Road				Moolap	Vic	3221	Australia	AMUY
Geelong Cattery	5264 1417	960 Barwon Heads Road				Connewarre	Vic	3227	Australia	AMUY
Geelong Pet Supplies	5281 2109	18 Glennette Court				Bannockburn	Vic	3331	Australia	AJUY
Genoa Boarding Kennels	5158 8278	Princess Highway				Genoa	Vic	3891	Australia	AMUW
German Shepard Dog Club - Bendigo	5442 7094	4 Hollow Street				Golden Square	Vic	3555	Australia	ANUY
German Shepard Dog Club - Northern Branch	9434 5604	27 Punkerri Circuit				Greensborough	Vic	3088	Australia	ANUW
Gisborne Vet Clinic	5428 6674	19 Melvins Road				Riddells Creek	Vic	3431	Australia	AKUW
Glen Eira Veterinary Hospital	9578 0041	453 North Road				Ormond	Vic	3204	Australia	AKUZ
Glen Iris Vet Hospital	9822 4952	1331 High Street				Malvern	Vic	3144	Australia	AKUZ
Glen Valley Produce	9730 1729	"Unit 2, Lot 1 Armstrong Grove"				Yarra Glen	Vic	3775	Australia	ALUY
Glenhuntly Rd Vet Clinic	9571 7144	1111 Glenhuntly Road				Glen huntly	Vic	3163	Australia	AKTZ
Glenrowan Vet Hospital	5766 2661	Po Box 92				Glenrowan	Vic	3675	Australia	AKUW
Glenroy Vet Clinic	9300 1099	125 Wheatsheaf Road				Glenroy	Vic	3046	Australia	AKTY
Glossop Saddler fodder & Pet Centre	08 8583 2010	Po Box 153				Glossop	SA	5344	Australia	ELUW
Goldfields Pet & Produce Supplies	9844 1766	98 Melbourne Hill Road				Warrandyte	Vic	3113	Australia	AJSY
Goondinwindi Pet Shop & Saddlery	0746 714 161	22 Herbert Street				Goondinwindi	QLD	4390	Australia	CJUW
Gosford Grooming	02 4329 6200	2 Deane Street				Narara	NSW	2250	Australia	BOUW
Greensborough Grain Store	9435 1339	Central Court Arcade	(rear main street opp swimming pool)			Greensborough	Vic	3088	Australia	ALTY
Greensborough Vet Hospital	9435 3333	505 Old Greensborough Road				Greensborough	Vic	3088	Australia	AKTY
Griffin Boarding Kennels	9782 1433	533-551Dandenong Frankston Road				Bangholme	Vic	3175	Australia	AMUZ
Guide Dogs Of Victoria	9854 4441	Chandler Highway				Kew	Vic	3101	Australia	AMTY
Gumnut Kennels & Cattery	9436 1480	Ashley Road				Yarrambat	Vic	3091	Australia	AMUY
Gwendolyn Park Pets Holiday Centre	5978 6466	6 Scott Road				Cranbourne South	Vic	3977	Australia	AMUZ
Hafele New Zealand	+64 9274 2040	16 Accent Drive				East Tamaki	Auckland		New Zealand	INTX
Hairy Hounds Playground	9397 3044	12 Bentley Street				Williamstown	Vic	3016	Australia	AMTY
Hairy Legs Mobile Dog Grooming	9458 5298	Unit 1 260 Waiora Road				Macleod	Vic	3085	Australia	AOUY
Hallam Park Boarding Kennels & Cattery	9703 1904	55 Belgrave-Hallam Road				Hallam	Vic	3803	Australia	AMUZ
Hallam Veterinary Clinic	9703 1776	55 Belgrave-Hallam Road				Hallam	Vic	3803	Australia	AKUZ
Hampton Vet Hospital	9521 0211	6 Thomas Street				Hampton	Vic	3188	Australia	AKUZ
Hastings Produce & Rural Supplies	5979 1230	2083 Frankston - Flinders Road				Hastings	Vic	3915	Australia	ALUZ
Hastings Vet Clinic	5979 1214	2110 Frankston-Dandenong Road				Hastings	Vic	3915	Australia	AKUZ
Hawthorn East Vet	9882 0007	1 Victoria Road				Hawthorn East	Vic	3122	Australia	AKUZ
Hawthorn Vet Clinic	9818 7818	200 Auburn Road				Hawthorn	Vic	3122	Australia	AKUZ
Healesville Vet Clinic	5962 4530	300 Maroondah Highway				Healesville	Vic	3777	Australia	AKUY
Heathmont Animal Hospital	9729 4466	3 Dickasons Road				Heathmont	Vic	3135	Australia	AKTY
Heathmont Pets & Supplies	9738 2530	192 Canterbury Road				Heathmont	Vic	3135	Australia	AJTY
Heavy Petting	02 9810 4439	9 Beattie Street				Balmain	NSW	2041	Australia	BJUW
Heidelberg Pet Supplies	9459 2603	Bell Street Mall				Heidelberg West	Vic	3081	Australia	AJUY
Heidelberg Vet Clinic	9457 3583	19 Southern Road				Heidelberg Heights	Vic	3081	Australia	AKTY
Heritage Community Vet Clinic	9386 1501	274-276 Sydney Road				Coburg	Vic	3058	Australia	AKUY
High Street Animal Hospital	9802 8392	527 High Street Road				Mt Waverley	Vic	3149	Australia	AKTZ
Highett Vet Clinic	9553 5996	2/497 Highett Road				Highett	Vic	3109	Australia	AKUZ
Highlands Produce Store	5782 2166	Industrial Estate	125 Northern Highway			Kilmore	Vic	3764	Australia	ALUW
Hilltop Pet & Aquariums	08 8322 1888	43 Main South Road				O'Halloran Hill	SA	5158	Australia	EJUW
Hobson Bay Vet Clinic	9391 4222	312 Melbourne Road				Newport	Vic	3015	Australia	AKUY
Homstead Boarding Kennels	9722 1202	12 Homestead Road				Wonga Park	Vic	3155	Australia	AMUY
Hoppers Crossing Veterinary Clinic	9748 6644	5 Barber Drive				Hoppers Crossing	Vic	3029	Australia	AKUY
Horsham Boarding Kennels & Cattery	5381 1101	Po Box 153				Horsham	Vic	3402	Australia	AMUW
Hound Lounge	9482 1111	266 Wingrove Street				Fairfield	Vic	3078	Australia	AJTY
Hurstbridge Veterinary Clinic & Hospital	9718 1515	911-913 Main Road				Hurstbridge	Vic	3099	Australia	AKTY
Intercept Detection Canines	5785 1365	PO Box 53				Kilmore	Vic	3764	Australia	ANUW
It's a Cats Life	5942 9243	10 Moore Road				Nar Nar Goon	Vic	3812	Australia	AMUW
Ivanhoe Central Vet	9499 3691	51 Upper Heidelberg Road				Ivanhoe	Vic	3079	Australia	AKUY
Ivorsons Poultry	5248 1552	111 Bellarine Highway				Newcomb	Vic	3219	Australia	ALTY
Jacqui's Shop	5494 3820	74 High Street				Wedderburn	Vic	3518	Australia	AJUY
Jano's Petlovers Supplies	5981 1944	Shop 2 Rosebud Central	McDowell Street			Rosebud	Vic	3939	Australia	AJSZ
Jay Bee's Pet Food & Produce	9364 2612	202 McIntyre Road				Sunshine North	Vic	3020	Australia	AJSY
John The Vet	9563 9711	166 Jasper Road				Bentleigh	Vic	3204	Australia	AKUZ
K-9 Antics	9306 8299	7 Patience Street				Glenroy	Vic	3046	Australia	ANTW
K9 & Katz Kitchen	9717 4707	7 Rural Place				Doreen	Vic	3754	Australia	ANUY
K9 Design Studio	9462 0101	PO Box 328				Diamond Creek	Vic	3089	Australia	AJUY
K9 Workouts	9532 3002	PO Box 33				Highett	Vic	3190	Australia	AMSZ
Kardinia Veterinary Clinic	5221 5122	355 Moorabool Street				Geelong	Vic	3220	Australia	AKTY
Karingal Vet Hospital	9789 3444	328 Cranbourne Road				Frankston	Vic	3199	Australia	AKUZ
Katmandog	5956 6900	40 Phillip Island Road				New Haven	Vic	3925	Australia	AJUW
Kensington Veterinary Clinic	9372 2733	45 Epsom Road				Kensington	Vic	3031	Australia	AKUY
Kew Vet Clinic	9853 7125	13 Cotham Road				Kew	Vic	3101	Australia	AKTY
Keysborough Vet Practice	9798 7274	4-8 Chapel Road				Keysborough	Vic	3173	Australia	AKUZ
Kilsyth Vet Clinic	9725 4011	604 Mt Dandenong Road				Kilsyth	Vic	3137	Australia	AKUY
Kingston Vet Clinic	9584 7500	32 Lower Dandenong Road				Mentone	Vic	3194	Australia	AKUZ
Knox Obedeince Dog Club Inc	9763 7278	42 Rosehill Street				Scoresby	Vic	3179	Australia	ANUW
KT Marty P/L	9459 2322	9 Beatrice Avenue				West Heidelberg	Vic	3081	Australia	ANUW
Kyneton Pet Supplies	5422 1279	8 Market Street				Kyneton	Vic	3444	Australia	AJUW
Lady & The Tramp	9598 3331	226 Bluff Road				Sandringham	Vic	3191	Australia	AJUZ
Laverton Veterinary Clinic	9360 0911	141 Railway Avenue				Laverton	Vic	3028	Australia	AKTY
Leisure Pets	5975 2559	195 Main Street				Mornington	Vic	3931	Australia	AJSZ
